Date,Product_ID,Customer_ID,Quantity,Unit Price,Revenue,Profit
2024-01-11,P012,C014,2,1367.17,2734.34,466.85
2024-05-23,P014,C040,2,1858.95,3717.9,547.82
2024-02-11,P006,C027,1,440.79,440.79,125.58
2024-04-15,P008,C018,2,1596.01,3192.02,388.21
2024-01-10,P016,C015,2,1651.51,3303.02,634.38
2024-03-19,P008,C015,1,1354.06,1354.06,243.32
2024-03-12,P003,C050,3,767.18,2301.54,464.64
2024-06-22,P018,C022,1,319.15,319.15,93.86
2024-02-15,P019,C017,1,305.96,305.96,57.19
2024-03-21,P014,C039,5,319.73,1598.65,447.46
2024-02-18,P009,C003,4,103.21,412.84,117.71
2024-05-17,P007,C024,4,232.95,931.8,216.97
2024-03-25,P020,C021,1,1467.53,1467.53,234.9
2024-03-20,P014,C021,4,1424.7,5698.8,1201.78
2024-02-19,P014,C043,4,1386.9,5547.6,1556.44
2024-06-06,P019,C020,4,1141.08,4564.32,456.8
2024-03-14,P007,C028,5,1252.66,6263.3,1030
2024-04-23,P015,C044,2,1071.23,2142.46,554.36
2024-02-13,P003,C019,5,1361.32,6806.6,1523.67
2024-01-24,P008,C044,3,526.82,1580.46,220.99
2024-01-07,P002,C016,4,1261.42,5045.68,1280.08
2024-04-26,P014,C041,5,469.43,2347.15,561.6
2024-05-06,P013,C016,2,1346.51,2693.02,272.29
2024-01-28,P014,C015,2,1627.81,3255.62,778.69
2024-04-28,P002,C036,2,1843.19,3686.38,458.11
2024-02-04,P015,C043,5,1977,9885,2165.71
2024-04-23,P020,C047,5,910.81,4554.05,1281.38
2024-04-24,P006,C048,4,955.13,3820.52,956.49
2024-06-12,P009,C050,5,1020.73,5103.65,754.57
2024-04-22,P003,C046,3,545.54,1636.62,273.59
2024-05-18,P003,C009,2,539.4,1078.8,257.61
2024-06-29,P007,C005,4,874.44,3497.76,729.36
2024-04-16,P002,C014,4,840.01,3360.04,853.31
2024-06-27,P001,C049,5,822.72,4113.6,416.21
2024-03-31,P010,C049,4,1721.55,6886.2,2001.72
2024-04-17,P018,C048,5,1619.75,8098.75,2264.1
2024-05-04,P008,C018,4,1022.72,4090.88,727.24
2024-06-20,P013,C047,2,1696.96,3393.92,963.56
2024-06-08,P018,C002,4,1224.6,4898.4,1139.37
2024-01-22,P014,C009,4,445.29,1781.16,270.79
2024-03-24,P007,C030,3,741.25,2223.75,613.59
2024-03-12,P014,C017,1,993.58,993.58,248.2
2024-01-14,P012,C015,1,1584.34,1584.34,364.95
2024-01-08,P008,C013,1,1280.54,1280.54,189.15
2024-05-01,P004,C037,2,983.56,1967.12,297.52
2024-04-04,P006,C039,5,1931.1,9655.5,2352.77
2024-02-11,P010,C007,5,148.79,743.95,120.81
2024-06-22,P013,C026,2,244.39,488.78,116.39
2024-06-09,P008,C007,3,1715.56,5146.68,1132.69
2024-01-31,P019,C003,3,1112.22,3336.66,775.12
2024-01-18,P017,C042,3,124.04,372.12,68.47
2024-05-05,P004,C028,3,1307.61,3922.83,1042.46
2024-02-09,P014,C012,5,1934.4,9672,1489.65
2024-05-17,P016,C030,4,1668.9,6675.6,1458.58
2024-03-23,P008,C006,3,1775.1,5325.3,792.26
2024-04-28,P019,C040,4,739.15,2956.6,587.95
2024-03-24,P006,C032,2,774.17,1548.34,234.84
2024-03-12,P020,C045,3,1156,3468,705.13
2024-02-18,P003,C016,4,1028.3,4113.2,1035.02
2024-06-25,P016,C042,4,951.53,3806.12,393.74
2024-03-16,P008,C026,2,681.79,1363.58,294.96
2024-05-01,P018,C034,3,908.46,2725.38,679.13
2024-03-25,P012,C045,4,614.74,2458.96,369.53
2024-01-31,P007,C021,1,1511.47,1511.47,438.59
2024-06-25,P006,C013,2,1503.35,3006.7,466.94
2024-05-30,P017,C039,3,1962.97,5888.91,1569.55
2024-03-16,P008,C024,2,674.31,1348.62,325.83
2024-02-02,P009,C003,1,1151.38,1151.38,275.74
2024-02-02,P016,C007,1,1190.72,1190.72,230.86
2024-04-22,P011,C012,1,579.71,579.71,157.88
2024-01-30,P003,C026,4,240.76,963.04,217.54
2024-01-14,P005,C010,5,1903.34,9516.7,1113.8
2024-03-04,P004,C036,4,1252,5008,1292.81
2024-02-27,P017,C025,4,1826.16,7304.64,1164.88
2024-05-30,P014,C020,5,1279.95,6399.75,1420.27
2024-01-26,P007,C041,2,602.83,1205.66,140.14
2024-03-02,P006,C036,1,397.41,397.41,72.21
2024-06-25,P020,C031,3,162.02,486.06,76.61
2024-03-13,P015,C005,2,1855.43,3710.86,955.79
2024-06-09,P019,C043,2,907.76,1815.52,379.28
2024-06-14,P005,C018,2,235.68,471.36,62.78
2024-03-19,P020,C048,5,1850.27,9251.35,1737.69
2024-04-29,P010,C045,4,1891.08,7564.32,1513.58
2024-05-06,P015,C006,5,175.74,878.7,163.79
2024-03-23,P020,C017,1,273.52,273.52,79.97
2024-05-27,P019,C002,3,1194.87,3584.61,905.55
2024-02-14,P016,C034,4,1840.54,7362.16,1003.45
2024-05-29,P014,C041,4,1941.2,7764.8,1506.39
2024-04-14,P011,C021,1,1729.69,1729.69,287.06
2024-06-26,P016,C019,4,1645.78,6583.12,1382.58
2024-04-26,P003,C021,3,714.22,2142.66,630.02
2024-04-13,P017,C001,5,977.76,4888.8,541.88
2024-05-12,P012,C040,4,1288.28,5153.12,1298.58
2024-02-22,P009,C036,2,1862.58,3725.16,698.93
2024-06-27,P016,C008,1,1948.98,1948.98,432.23
2024-03-02,P006,C020,5,125.98,629.9,114.39
2024-02-27,P004,C030,1,1330.65,1330.65,174.04
2024-03-15,P017,C046,3,889.43,2668.29,524.32
2024-04-30,P008,C030,5,374.82,1874.1,258.85
2024-06-02,P017,C048,2,1741.65,3483.3,540.78
2024-04-16,P011,C033,3,1659.04,4977.12,779.26
2024-03-17,P019,C038,4,1744,6976,1320.62
2024-05-03,P012,C022,5,1549.46,7747.3,1359.2
2024-03-23,P007,C045,2,1186.42,2372.84,348.13
2024-04-15,P002,C021,4,1439.93,5759.72,1510.67
2024-04-08,P005,C032,1,339.87,339.87,99.61
2024-03-25,P004,C029,1,1099.31,1099.31,210.39
2024-02-06,P014,C042,2,242.17,484.34,124.14
2024-03-08,P011,C040,4,1334.69,5338.76,1443.35
2024-06-21,P018,C025,3,1290.92,3872.76,1074.64
2024-05-04,P018,C003,5,230,1150,260.17
2024-03-14,P008,C048,1,924.55,924.55,110.66
2024-06-11,P004,C029,2,1418.6,2837.2,796.36
2024-01-12,P011,C004,3,781.08,2343.24,436.16
2024-03-03,P017,C027,5,1395.42,6977.1,948.96
2024-02-14,P003,C040,4,1277.45,5109.8,757.1
2024-05-29,P005,C015,4,1312.02,5248.08,1007.18
2024-06-19,P001,C030,3,1387.46,4162.38,547.75
2024-04-23,P012,C038,3,1313.98,3941.94,728.71
2024-03-05,P015,C020,2,1998.81,3997.62,1082.02
2024-01-28,P008,C025,5,782.02,3910.1,622.39
2024-06-28,P010,C002,4,621.51,2486.04,529.99
2024-06-24,P002,C039,4,1682.39,6729.56,1888.23
2024-02-28,P020,C023,2,1309.57,2619.14,587.15
2024-06-22,P005,C041,1,1816.47,1816.47,416.46
2024-03-20,P015,C003,5,793.24,3966.2,500.86
2024-03-16,P011,C048,4,433.72,1734.88,219.34
2024-05-18,P012,C034,5,1835.63,9178.15,2442.26
2024-03-06,P016,C019,3,1628.04,4884.12,945.89
2024-01-20,P005,C049,2,1734.27,3468.54,849.25
2024-04-11,P018,C024,1,1602.3,1602.3,164.69
2024-05-17,P004,C030,3,1378.37,4135.11,969.55
2024-05-29,P013,C041,3,305.86,917.58,134.67
2024-01-07,P020,C036,3,1838.99,5516.97,795.95
2024-01-17,P015,C045,3,1333.55,4000.65,493.42
2024-01-12,P002,C020,4,320.63,1282.52,188.48
2024-05-17,P005,C025,4,804.92,3219.68,933.31
2024-06-27,P018,C027,5,1510.31,7551.55,988.53
2024-04-16,P004,C032,5,875.42,4377.1,1270.69
2024-01-09,P012,C014,4,944.92,3779.68,556.45
2024-04-02,P004,C044,3,1134.49,3403.47,1005.96
2024-04-01,P002,C026,3,460.64,1381.92,171.95
2024-04-26,P003,C043,2,1319.24,2638.48,578.96
2024-01-06,P002,C022,2,1978.76,3957.52,1018.65
2024-02-22,P003,C049,5,493.6,2468,353.39
2024-02-29,P011,C050,2,1598.42,3196.84,700.74
2024-03-11,P005,C009,5,576.24,2881.2,388.67
2024-06-18,P001,C009,1,780.66,780.66,201.17
2024-05-30,P011,C002,2,604.2,1208.4,151.48
2024-04-17,P017,C008,1,1004.87,1004.87,256.85
2024-05-11,P019,C007,4,1057.29,4229.16,1222.58
2024-01-12,P017,C020,4,1322.35,5289.4,561.89
2024-05-02,P013,C028,1,1031.51,1031.51,290.82
2024-01-19,P003,C021,5,381.83,1909.15,239.1
2024-06-08,P019,C036,3,823.72,2471.16,542.37
2024-03-16,P015,C033,5,917.38,4586.9,1186.26
2024-01-30,P018,C047,2,917.13,1834.26,509.22
2024-04-15,P011,C030,4,890.38,3561.52,423.88
2024-04-19,P011,C043,3,811.17,2433.51,317.64
2024-05-01,P003,C006,1,277.14,277.14,33.07
2024-04-05,P005,C036,1,1214.28,1214.28,257.81
2024-03-25,P004,C027,3,1759.85,5279.55,1521.7
2024-04-18,P002,C019,5,693.65,3468.25,418.69
2024-05-09,P007,C010,4,526.07,2104.28,255.97
2024-05-22,P012,C008,3,1190.79,3572.37,933.98
